activity_pga1,activity_pga2,activity_pga3,activity_q1,activity_q2,activity_q3,activity_q4,activity_q5,activity_q6,activity_vid_count,activity_vid_week_1,activity_vid_week_2,activity_vid_week_3,activity_vid_week_4,activity_vid_week_5,activity_vid_week_6,course_platform,course_name,activity_completed,activity_learner,activity_auditor,unique_user_id
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,dd1ac9b5ee7a49b7ebbb5eec1248e8dd
0,0,0,0,0,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,9a291669e4f6f9be315e85b69b669838
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,0bc948500990b1b85d2037992024fe4c
0,0,0,0,0,0,0,0,0,110.0,19.0,23.0,33.0,17.0,7.0,9.0,COURSERA,INTRO Fall 2014,0,1,1,0486a1cc19a9ed63b9877a6b024918bf
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,9cd2993769013ad2745e1c215bf28b78
0,0,0,1,0,0,0,0,0,26.0,19.0,5.0,0.0,0.0,1.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,e4474347e5ebda80bff44ed1969a37a7
0,0,0,0,0,0,0,0,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,fa48d0c27d3422f34db1dfbb5fa64bd1
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,8df38cf25cc7dafd6be21bc0dcdc104e
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,71c4c8363b2bcd23fb853797721f3256
1,0,0,1,0,0,0,0,0,33.0,19.0,13.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,1,0,9087b1d35fa0888e6a2ebb15d9437d72
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,80750269f2fbcb884b306c5355aaaef8
0,0,0,0,1,0,0,0,0,20.0,10.0,1.0,6.0,1.0,1.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,93c35ca2d01fcd87a15facde881b061b
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,2ea620774e6a43eeb4d4d0e269c13250
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,d84450d05229aea744bbd19c10a75873
0,0,0,0,0,0,0,0,0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,99c7622245fb2020320d6e778854b721
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,80c25d5184cc8174a4157cdd7f46c3e8
