unique_user_id,course_name,course_platform,QID334_p,QID355_p,QID389_p,QID383,QID354,QID699,QID601_1,QID601_2,QID601_3,QID601_4,QID601_6,QID601_15,QID601_16,QID373_11,QID373_12,QID373_13,QID373_14,QID373_15,QID373_16,QID373_17,QID373_21,QID373_22,QID373_9,QID387_25,QID387_27,QID387_28,QID387_30,QID387_32,QID387_34,QID387_37
36a6a34fb1a778c2ae532e13ed30b3b0,INTRO Fall 2015,COURSERA,Doctoral student,False,no,yes,yes,1.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,4.0,,,1.0,,,,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0
2a592f82a9139fec72bf3c52579c2c60,INTRO Fall 2015,COURSERA,Doctoral student,False,yes,yes,yes,2.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,,,4.0,,,,3.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0
187fd0057a66db1775e34f248f812316,INTRO Fall 2015,COURSERA,Post-doctoral researcher,False,yes,yes,yes,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,,2.0,,,,3.0,,,,4.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0
9221723fb1249ca6dde6a776fff2b289,INTRO Fall 2015,COURSERA,Faculty,False,no,yes,yes,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,,3.0,4.0,,,,,0.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,1.0
933a07d14fb76e761d94c9ae12e6d4f3,INTRO Fall 2015,COURSERA,Doctoral student,False,no,yes,yes,2.0,3.0,2.0,1.0,0.0,2.0,1.0,3.0,4.0,1.0,3.0,,,2.0,,2.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0
471079871c0b569ced1f870a8953f85d,INTRO Fall 2015,COURSERA,Doctoral student,True,yes,yes,yes,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,3.0,2.0,,,1.0,,2.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0
a9d83850cab194f9b405fb9df90a3c04,INTRO Fall 2015,COURSERA,Faculty,True,no,yes,yes,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,,2.0,,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0
6015826af0ad95a01393e280610d26fe,INTRO Fall 2015,COURSERA,Doctoral student,False,no,yes,yes,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,,4.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0
c51f06f37fe56fa158975b21d9fd0532,INTRO Fall 2015,COURSERA,Other,False,yes,yes,yes,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,,3.0,,2.0,,,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0
fe8d99b86e8d686969d21c278daec675,INTRO Fall 2015,COURSERA,Post-doctoral researcher,False,no,yes,yes,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,,,,,4.0,,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0
4c91caaf15d7f8cb6aad7cc35aa91ce6,INTRO Fall 2015,COURSERA,Post-doctoral researcher,False,no,yes,yes,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,,4.0,3.0,,,,,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0
f5994612d141f44e1f6244cf2120ffa0,INTRO Fall 2015,COURSERA,Faculty,True,no,yes,yes,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,,2.0,3.0,,,3.0,,,,2.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0
